Number,Frage,Antwort
791,Er ist direkt auf dich zugeschwommen.,und dann drehte er sich um.
792,und dann drehte er sich um.,Vielleicht hast du Recht.
793,Vielleicht hast du Recht.,Vielleicht sollten wir loslegen.
794,sind Sie verheiratet?,NEIN. Ich bin geschieden.
795,NEIN. Ich bin geschieden.,Wann wurden Sie geschieden?
796,Wann wurden Sie geschieden?,Ich habe mich vor zwei Jahren scheiden lassen.
797,Ich habe mich vor zwei Jahren scheiden lassen.,Warum hast du dich scheiden lassen?
798,Warum hast du dich scheiden lassen?,Meine Frau hat mich verlassen.
799,Meine Frau hat mich verlassen.,Warum hat sie dich verlassen?
800,Warum hat sie dich verlassen?,"Sie sagte, sie liebte mich nicht mehr."
801,"Sie sagte, sie liebte mich nicht mehr.",Wow! das ist furchtbar.
802,Wow! das ist furchtbar.,"ja, war es."
803,"ja, war es.",Warum hat sie dich nicht mehr geliebt?
804,Warum hat sie dich nicht mehr geliebt?,Sie hat sich in meine beste Freundin verliebt.
805,Mir ist langweilig.,Was läuft im Fernsehen?
806,Was läuft im Fernsehen?,Nichts.
807,Nichts.,Da muss etwas im Fernsehen sein!
808,Da muss etwas im Fernsehen sein!,nichts Interessantes.
809,nichts Interessantes.,Was ist mit der neuen Spielshow?
810,Was ist mit der neuen Spielshow?,welcher?
811,welcher?,„Deal oder kein Deal“
812,„Deal oder kein Deal“,"Sag mir, dass du Witze machst."
813,"Sag mir, dass du Witze machst.",Ich liebe diese Show.
814,Ich liebe diese Show.,Ich habe es einmal gesehen. das war genug.
815,Ich habe es einmal gesehen. das war genug.,Es läuft gerade. Schauen wir uns gemeinsam an.
816,Ich wohne gerne hier.,Ich stimme zu. Pasadena ist eine schöne Stadt.
817,Ich stimme zu. Pasadena ist eine schöne Stadt.,es ist nicht zu groß.
818,es ist nicht zu groß.,und es ist nicht zu klein.
819,und es ist nicht zu klein.,Es hat das ganze Jahr über tolles Wetter.
820,Es hat das ganze Jahr über tolles Wetter.,es gibt die Rosenparade.
821,es gibt die Rosenparade.,es hat wunderschöne Häuser.
822,es hat wunderschöne Häuser.,Es gibt wunderbare Restaurants.
823,Es gibt wunderbare Restaurants.,Es gibt tolle Schulen.
824,Es gibt tolle Schulen.,es liegt in der Nähe der Berge.
825,es liegt in der Nähe der Berge.,die Leute sind freundlich.
826,die Leute sind freundlich.,Ich werde niemals gehen.
827,Wir brauchen eine neue Matratze.,Was ist mit diesem los?
828,Was ist mit diesem los?,es ist nicht bequem.
829,es ist nicht bequem.,es scheint mir in Ordnung zu sein.
830,es scheint mir in Ordnung zu sein.,Ich wälze mich die ganze Nacht hin und her.
831,Ich wälze mich die ganze Nacht hin und her.,"Du solltest aufhören, Kaffee zu trinken."
832,"Du solltest aufhören, Kaffee zu trinken.",Schau dir diese Markierungen auf meinen Armen an.
833,Schau dir diese Markierungen auf meinen Armen an.,was sind Sie?
834,was sind Sie?,es sind Bisse.
835,es sind Bisse.,Hat dich die Katze gebissen?
836,Hat dich die Katze gebissen?,NEIN. Die Wanzen in dieser Matratze haben mich gebissen.
837,NEIN. Die Wanzen in dieser Matratze haben mich gebissen.,Okay. Lass uns eine neue Matratze besorgen.
838,Mein Laptop ist so langsam.,Kauf ein neues.
839,Kauf ein neues.,"Ich würde, wenn ich das Geld hätte."
840,"Ich würde, wenn ich das Geld hätte.",Warum ist es so langsam?
841,Warum ist es so langsam?,Das ist eine gute Frage.
842,Das ist eine gute Frage.,Hast du es in einen Computerladen gebracht?
843,Hast du es in einen Computerladen gebracht?,"Ich würde, wenn ich das Geld hätte."
844,i would if i had the money.,"Nun ja, ich schätze, man muss damit leben."
845,"Nun ja, ich schätze, man muss damit leben.",Manchmal möchte ich es aus dem Fenster werfen.
846,Manchmal möchte ich es aus dem Fenster werfen.,das willst du nicht machen.
847,das willst du nicht machen.,Warum nicht?
848,why not?,Du könntest jemanden am Kopf treffen.
849,was gibt es zum Abendessen?,Ich bin mir nicht sicher.
850,Ich bin mir nicht sicher.,Wie wäre es mit einer Pizza?
851,Wie wäre es mit einer Pizza?,Du hast Pizza zum Mittagessen gegessen.
852,Du hast Pizza zum Mittagessen gegessen.,aber ich liebe Pizza.
853,aber ich liebe Pizza.,Jeder liebt Pizza.
854,Jeder liebt Pizza.,Warum kann ich also keine Pizza zum Abendessen haben?
855,Warum kann ich also keine Pizza zum Abendessen haben?,weil man Abwechslung braucht.
856,weil man Abwechslung braucht.,Was ist „Vielfalt“?
857,Was ist „Vielfalt“?,verschiedene Dinge – nicht immer dasselbe.
858,verschiedene Dinge – nicht immer dasselbe.,"Du meinst, wie eine Peperonipizza statt einer Käsepizza?"
859,"Du meinst, wie eine Peperonipizza statt einer Käsepizza?","Nein, ich habe einen Salat statt einer Pizza."
860,Wir müssen Geld sparen.,Warum müssen wir Geld sparen?
861,Warum müssen wir Geld sparen?,weil wir ein Haus kaufen müssen.
862,weil wir ein Haus kaufen müssen.,aber ein Haus ist so teuer.
863,aber ein Haus ist so teuer.,Deshalb müssen wir Geld sparen.
864,Deshalb müssen wir Geld sparen.,Wie viel müssen wir sparen?
865,Wie viel müssen wir sparen?,Wir müssen genug für eine Anzahlung sparen.
866,Wir müssen genug für eine Anzahlung sparen.,wie viel ist das?
867,wie viel ist das?,das sind etwa 30.000 $.
868,das sind etwa 30.000 $.,dreißigtausend Dollar! das wird ewig dauern.
869,dreißigtausend Dollar! das wird ewig dauern.,"nicht, wenn wir jeden Cent sparen."
870,"nicht, wenn wir jeden Cent sparen.",Okay. Hier sind sieben Pennys.
871,Der Ozean ist so groß.,Man kann das Ende nicht sehen.
872,Man kann das Ende nicht sehen.,es geht ewig so weiter.
873,es geht ewig so weiter.,und es ist auch tief.
874,und es ist auch tief.,"Ich glaube, es ist fünf Meilen tief."
875,"Ich glaube, es ist fünf Meilen tief.",Sind unten Fische?
876,Sind unten Fische?,Oben und unten sind Fische.
877,Oben und unten sind Fische.,Gibt es mehr Fische oder mehr Menschen?
878,Gibt es mehr Fische oder mehr Menschen?,"Ich glaube, es gibt mehr Fische."
879,"Ich glaube, es gibt mehr Fische.","Ich hoffe es. Ich liebe es, Fisch zu essen."
880,Ich bin sauer auf meine Mutter.,Warum das?
881,why is that?,Ich habe sie vor ihrem neuen Freund gewarnt. Sie hat mir nicht zugehört.
882,Ich habe sie vor ihrem neuen Freund gewarnt. Sie hat mir nicht zugehört.,was ist passiert?
883,what happened?,"Ich habe ihr 1.000 Dollar zum Geburtstag geschenkt. Ich sagte ihr, sie solle es für sich selbst ausgeben."
884,"Ich habe ihr 1.000 Dollar zum Geburtstag geschenkt. Ich sagte ihr, sie solle es für sich selbst ausgeben.",das war sehr nett von dir.
885,das war sehr nett von dir.,"Ich habe herausgefunden, dass sie es ihrem neuen Freund geschenkt hat."
886,"Ich habe herausgefunden, dass sie es ihrem neuen Freund geschenkt hat.",Warum hat sie das getan?
887,Warum hat sie das getan?,"Er sagte, er würde ihr einen schönen Ring kaufen."
888,"Er sagte, er würde ihr einen schönen Ring kaufen.",was stimmt damit nicht?
889,was stimmt damit nicht?,Er ging nach Las Vegas. Er hat beim Spielen alles verloren.
890,Er ging nach Las Vegas. Er hat beim Spielen alles verloren.,"Ich hoffe, deine Mutter hat mit ihm den Schluss gemacht."
891,Reden Tiere miteinander?,Natürlich reden sie miteinander.
892,Natürlich reden sie miteinander.,worüber reden Sie?
893,worüber reden Sie?,sie reden über andere Tiere.
894,sie reden über andere Tiere.,Worüber reden sie sonst noch?
895,Worüber reden sie sonst noch?,Sie reden über Essen und das Wetter.
896,Sie reden über Essen und das Wetter.,reden sie über uns?
897,reden sie über uns?,Natürlich reden sie über uns.
898,Natürlich reden sie über uns.,Was sagen sie über uns?
899,Was sagen sie über uns?,"Sie sagen, dass wir komisch aussehen."
900,"Sie sagen, dass wir komisch aussehen.",Ha! wir sehen nicht komisch aus; Tiere sehen lustig aus.
901,Ha! wir sehen nicht komisch aus; Tiere sehen lustig aus.,"Wir sehen komisch aus, weil wir Kleidung tragen."
902,Ich muss das Haus sauber machen.,"Ja, es ist sehr schmutzig."
903,"Ja, es ist sehr schmutzig.",ihr könnt mir helfen.
904,ihr könnt mir helfen.,warum ich?
905,warum ich?,"Weil du geholfen hast, es schmutzig zu machen."
906,"Weil du geholfen hast, es schmutzig zu machen.",Was soll ich tun?
907,Was soll ich tun?,"Ich möchte, dass du das Badezimmer putzt."
908,"Ich möchte, dass du das Badezimmer putzt.","Oh, das ist einfach."
909,"Oh, das ist einfach.","Reinigen Sie das Waschbecken, die Badewanne, die Arbeitsfläche und die Toilette."
910,"Reinigen Sie das Waschbecken, die Badewanne, die Arbeitsfläche und die Toilette.",das ist eine Menge Arbeit.
911,das ist eine Menge Arbeit.,"Sag mir, wenn Du fertig bist."
912,"Sag mir, wenn Du fertig bist.",Das glaube ich nicht. Du gibst mir einfach mehr Arbeit.
913,Du schaust zu viel fern.,Wie meinst du das?
914,Wie meinst du das?,"Ich meine, du verschwendest dein Leben."
915,"Ich meine, du verschwendest dein Leben.",Ich habe Spaß.
916,Ich habe Spaß.,Du sitzt da mit offenem Mund.
917,Du sitzt da mit offenem Mund.,wen interessiert das?
918,wen interessiert das?,Ich kümmere mich. etwas tun.
919,Ich kümmere mich. etwas tun.,Okay. Ich habe etwas gemacht.
920,Okay. Ich habe etwas gemacht.,Was hast du gemacht?
921,Was hast du gemacht?,Ich habe die Lautstärke aufgedreht.
922,Ich habe die Lautstärke aufgedreht.,"Das ist nicht das, was ich mit „etwas tun“ gemeint habe."
923,"Das ist nicht das, was ich mit „etwas tun“ gemeint habe.",Wirst du etwas tun? lass mich in ruhe.
924,Hast du einen Brief an Oma geschrieben?,"Ja, habe ich."
925,"Ja, habe ich.",Hast du ihr von der Schule erzählt?
926,Hast du ihr von der Schule erzählt?,"Ich habe ihr gesagt, dass die Schule Spaß macht."
927,"Ich habe ihr gesagt, dass die Schule Spaß macht.",Hast du den Brief in einen Umschlag gesteckt?
928,Hast du den Brief in einen Umschlag gesteckt?,"Ja, und ich habe den Umschlag versiegelt."
929,"Ja, und ich habe den Umschlag versiegelt.",Hast du eine Briefmarke auf den Umschlag geklebt?
930,Hast du eine Briefmarke auf den Umschlag geklebt?,Ich konnte keine Briefmarken finden.
931,Ich konnte keine Briefmarken finden.,Sie liegen in der Küchenschublade.
932,Sie liegen in der Küchenschublade.,Okay. Ich habe einfach eine Briefmarke auf den Umschlag geklebt.
933,Okay. Ich habe einfach eine Briefmarke auf den Umschlag geklebt.,Geben Sie mir den Umschlag und ich schicke ihn Ihnen per Post.
934,Geben Sie mir den Umschlag und ich schicke ihn Ihnen per Post.,Wann lernt Oma etwas über E-Mail?
935,warum gähnst du?,Ich bin müde.
936,Ich bin müde.,Warum gehst du nicht ins Bett?
937,Warum gehst du nicht ins Bett?,Ich möchte diese Fernsehsendung sehen.
938,Ich möchte diese Fernsehsendung sehen.,Vielleicht solltest du es aufzeichnen.
939,Vielleicht solltest du es aufzeichnen.,Das Tonbandgerät ist kaputt.
940,Das Tonbandgerät ist kaputt.,Dann sollten Sie sich die Wiederholung ansehen.
941,Dann sollten Sie sich die Wiederholung ansehen.,Warum? Ich schaue mir das Original an.
942,Warum? Ich schaue mir das Original an.,aber du wirst in etwa einer Minute schlafen.
943,aber du wirst in etwa einer Minute schlafen.,"Ich gähne nur, weil die Werbung läuft."
944,"Ich gähne nur, weil die Werbung läuft.","Okay. Ich werde dir sagen, wie die Show endet."
945,"Okay. Ich werde dir sagen, wie die Show endet.",zzz.
946,es ist Sonntag.,Also?
947,Also?,"Du weisst, was das bedeutet."
948,"Du weisst, was das bedeutet.",Ich habe vergessen.
949,Ich habe vergessen.,"Sonntag bedeutet, dass wir in die Kirche gehen."
950,"Sonntag bedeutet, dass wir in die Kirche gehen.",Oh ja.
951,Oh ja.,einen Mantel und eine Krawatte anziehen.
952,einen Mantel und eine Krawatte anziehen.,Warum?
953,Warum?,Respekt vor Gott und anderen zeigen.
954,Respekt vor Gott und anderen zeigen.,"Ich bin froh, dass der Sonntag nur einmal in der Woche ist."
955,"Ich bin froh, dass der Sonntag nur einmal in der Woche ist.","Ich hoffe, Gott hat das nicht gehört."
956,"Ich hoffe, Gott hat das nicht gehört.",er wird mir verzeihen.
957,Hast du die Katze gefüttert?,Ich mache das gleich.
958,Ich mache das gleich.,Die Katze miaut. er ist hungrig.
959,Die Katze miaut. er ist hungrig.,Okay. Ich werde ihn sofort füttern.
960,Okay. Ich werde ihn sofort füttern.,Du solltest ihn nicht warten lassen.
961,Du solltest ihn nicht warten lassen.,Ich war dabei meine Hausaufgaben zu machen.
962,Ich war dabei meine Hausaufgaben zu machen.,Die Katze kümmert sich nicht um deine Hausaufgaben.
963,Die Katze kümmert sich nicht um deine Hausaufgaben.,Der Katze ist alles egal.
964,Der Katze ist alles egal.,So sind Katzen eben.
965,So sind Katzen eben.,Sie denken nur an sich selbst.
966,Sie denken nur an sich selbst.,vielleicht sollten wir ihn loswerden.
967,vielleicht sollten wir ihn loswerden.,natürlich nicht! Er gehört zur Familie.
968,"Ich hasse es, mich zu rasieren.",Ich auch.
969,Ich auch.,Ich habe mich gerade wieder geschnitten.
970,Ich habe mich gerade wieder geschnitten.,Hast du eine neue Klinge verwendet?
971,Hast du eine neue Klinge verwendet?,"Es spielt keine Rolle. Alte Klingen schneiden, neue Klingen schneiden."
972,"Es spielt keine Rolle. Alte Klingen schneiden, neue Klingen schneiden.",Vielleicht solltest du einen Elektrorasierer benutzen.
973,Vielleicht solltest du einen Elektrorasierer benutzen.,"Sie machen viel Lärm, aber sie rasieren nicht gründlich."
974,"Sie machen viel Lärm, aber sie rasieren nicht gründlich.",Vielleicht solltest du mit dem Rasieren aufhören.
975,Vielleicht solltest du mit dem Rasieren aufhören.,und einen Bart wachsen lassen?
976,und einen Bart wachsen lassen?,Sicher. Warum nicht?
977,Sicher. Warum nicht?,weil Essen und andere Sachen in meinem Bart kleben bleiben.
978,weil Essen und andere Sachen in meinem Bart kleben bleiben.,Hmm. Hier ist eine Idee. Tragen Sie die Creme auf Ihr Gesicht auf und lassen Sie die Katze sie abdecken.
979,Verzeihung.,Ja?
980,Ja?,Lesen Sie dieses Papier?
981,Lesen Sie dieses Papier?,Ach nein. bedienen Sie sich.
982,Ach nein. bedienen Sie sich.,"Ich habe gefragt, weil die Zeitung neben dir liegt."
983,"Ich habe gefragt, weil die Zeitung neben dir liegt.",Danke. Das ist höflich von dir zu fragen.
984,Danke. Das ist höflich von dir zu fragen.,Manche Leute würden es einfach aufheben.
985,Manche Leute würden es einfach aufheben.,"ja, ich weiß. Manche Leute sind unhöflich."
986,"ja, ich weiß. Manche Leute sind unhöflich.",Ich versuche immer höflich zu sein.
987,Ich versuche immer höflich zu sein.,Ich auch.
988,Ich auch.,Die Welt braucht höflichere Menschen wie uns.
989,Die Welt braucht höflichere Menschen wie uns.,Ich stimme zu 100 Prozent zu.
990,"Mama, ich möchte einen Welpen.",Lass mich darüber nachdenken.
991,Lass mich darüber nachdenken.,Warum musst du darüber nachdenken?
992,Warum musst du darüber nachdenken?,denn ein Welpe kostet Geld.
993,denn ein Welpe kostet Geld.,"Nein, das tut es nicht. Welpen sind kostenlos."
994,"Nein, das tut es nicht. Welpen sind kostenlos.","Ja, aber ein Welpe braucht Impfungen."
995,"Ja, aber ein Welpe braucht Impfungen.",Aufnahmen für was?
996,Aufnahmen für was?,damit es nicht krank wird. Genauso wie man Schüsse bekommt.
997,damit es nicht krank wird. Genauso wie man Schüsse bekommt.,Ich hasse Schüsse.
998,Ich hasse Schüsse.,und ein Welpe frisst Futter. Essen kostet Geld.
999,und ein Welpe frisst Futter. Essen kostet Geld.,Kein Problem. Ich gebe ihm Essen von meinem Teller.
1000,Kein Problem. Ich gebe ihm Essen von meinem Teller.,"Oh, nein, das tust du nicht. Welpen fressen kein Gemüse."
1001,Schau dir all diese Kätzchen an!,wie viele sind es?
1002,wie viele sind es?,acht.
1003,acht.,Sie sind alle so süß.
1004,Sie sind alle so süß.,"Ja, aber ich kann sie nicht behalten."
1005,"Ja, aber ich kann sie nicht behalten.",Was wirst du mit ihnen machen?
1006,Was wirst du mit ihnen machen?,Ich werde sie verschenken. möchtest du eins?
1007,Ich werde sie verschenken. möchtest du eins?,"Ja, ich würde mich über eins freuen."
1008,"Ja, ich würde mich über eins freuen.",welchen willst du?
1009,welchen willst du?,"Das hier. der, der ganz schwarz ist."
1010,"Das hier. der, der ganz schwarz ist.","ja, das gefällt mir auch."
1011,"ja, das gefällt mir auch.",Ich werde ihn Blacky nennen.
1012,Meine Eltern gehen jeden Sonntag in die Kirche.,Sie vertrauen auf Gott.
1013,Sie vertrauen auf Gott.,"Sie hoffen, dass sie in den Himmel kommen."
1014,"Sie hoffen, dass sie in den Himmel kommen.",das werden sie wahrscheinlich.
1015,das werden sie wahrscheinlich.,aber niemand weiß es genau.
1016,aber niemand weiß es genau.,das ist sicher.
1017,das ist sicher.,"Niemand weiß, was passiert, nachdem wir gestorben sind."
1018,"Niemand weiß, was passiert, nachdem wir gestorben sind.","Wenn wir gut sind, werden wir im Himmel bei Gott glücklich sein."
1019,"Wenn wir gut sind, werden wir im Himmel bei Gott glücklich sein.",das glauben viele Leute.
1020,das glauben viele Leute.,"Wenn wir schlecht sind, werden wir für immer in der Hölle unglücklich sein."
1021,"Wenn wir schlecht sind, werden wir für immer in der Hölle unglücklich sein.",Ich will nicht zur Hölle fahren.
1022,Ich will nicht zur Hölle fahren.,Lass uns am Sonntag mit deinen Eltern in die Kirche gehen.
1023,mein Ehemann ist gestorben.,es tut mir leid für dich.
1024,es tut mir leid für dich.,Danke.
1025,thank you.,Wann ist er gestorben?
1026,Wann ist er gestorben?,vor ein paar Monaten.
1027,vor ein paar Monaten.,du vermisst ihn immer noch.
1028,du vermisst ihn immer noch.,"Ja, aber ich rede fast jeden Tag mit ihm."
1029,"Ja, aber ich rede fast jeden Tag mit ihm.",wann gehst du in die Kirche?
1030,wann gehst du in die Kirche?,"Nein, wenn ich ihn auf seinem Handy anrufe."
1031,"Nein, wenn ich ihn auf seinem Handy anrufe.",Wie meinst du das?
1032,what do you mean?,Ich habe ihn mit seinem Handy begraben.
1033,Ich habe ihn mit seinem Handy begraben.,"Was werden Sie tun, wenn die Batterie leer ist?"
1034,"Heute ist Freitag, der dreizehnte.",Das ist ein schlechter Tag.
1035,Das ist ein schlechter Tag.,Es soll Pech sein.
1036,Es soll Pech sein.,Du sollst den ganzen Tag zu Hause bleiben.
1037,Du sollst den ganzen Tag zu Hause bleiben.,"das ist, was ich tue."
1038,"das ist, was ich tue.","Mein Freund übernachtete am Freitag, den 13., in einem Hotel."
1039,"Mein Freund übernachtete am Freitag, den 13., in einem Hotel.",das war ein Fehler.
1040,das war ein Fehler.,er wohnte im dreizehnten Stock.
1041,er wohnte im dreizehnten Stock.,was ist passiert?
1042,what happened?,Jemand hat seinen Laptop gestohlen.
1043,Jemand hat seinen Laptop gestohlen.,er hat darum gebeten.
1044,er hat darum gebeten.,Er hat seine Lektion gelernt. Er ist heute zu Hause.
1045,liebst du mich wirklich?,Natürlich.
1046,Natürlich.,Beweise es.
1047,Beweise es.,wie kann ich es beweisen?
1048,wie kann ich es beweisen?,Bring mich zum Abendessen.
1049,Bring mich zum Abendessen.,"das ist es? Das ist alles, was ich tun muss?"
1050,"das ist es? Das ist alles, was ich tun muss?","Bring mich in ein schönes Restaurant, nicht zu McDonald's."
1051,"Bring mich in ein schönes Restaurant, nicht zu McDonald's.",Aber ein schönes Restaurant kostet Geld.
1052,Aber ein schönes Restaurant kostet Geld.,"Ja, und Sie müssen eine Reservierung vornehmen."
1053,"Ja, und Sie müssen eine Reservierung vornehmen.",Das ist so ein Aufwand.
1054,Das ist so ein Aufwand.,"Ich wusste, dass du mich nicht liebst."
1055,"Ich wusste, dass du mich nicht liebst.",okay okay! Ich werde sofort eine Reservierung vornehmen.
1056,Meine Eltern sind geschieden.,Meine sind es auch.
1057,Meine sind es auch.,Warum haben sich deine Eltern scheiden lassen?
1058,Warum haben sich deine Eltern scheiden lassen?,Mein Vater hat eine neue Freundin gefunden.
1059,Mein Vater hat eine neue Freundin gefunden.,das ist sehr schade.
1060,das ist sehr schade.,Meine Mutter war verletzt und wütend.
1061,Meine Mutter war verletzt und wütend.,Sie hatte gute Gründe. was hat Sie getan?
1062,Sie hatte gute Gründe. was hat Sie getan?,"Sie sagte ihm, er solle seine Freundin fallen lassen."
1063,"Sie sagte ihm, er solle seine Freundin fallen lassen.",Was hat dein Vater gemacht?
1064,Was hat dein Vater gemacht?,Er ist aus unserem Haus ausgezogen.
1065,Er ist aus unserem Haus ausgezogen.,"Ich schätze, er mochte seine neue Freundin wirklich."
1066,"Ich schätze, er mochte seine neue Freundin wirklich.","Ja, aber sie verließ ihn ein Jahr später."
1067,In der Wohnung meiner Oma riecht es komisch.,meiner tut das auch.
1068,meiner tut das auch.,"Ich glaube, es ist der Geruch alter Leute."
1069,"Ich glaube, es ist der Geruch alter Leute.",Wirklich?
1070,really?,"Ja. Ich glaube, wenn man alt wird, fängt man an zu riechen."
1071,"Ja. Ich glaube, wenn man alt wird, fängt man an zu riechen.","Wie Obst, das zu reif ist?"
1072,"Wie Obst, das zu reif ist?","ja, genau wie Obst, das zu reif ist."
1073,"ja, genau wie Obst, das zu reif ist.",aber der Geruch ist anders.
1074,aber der Geruch ist anders.,"Ja, alte Menschen riechen nicht nach Obst."
1075,"Ja, alte Menschen riechen nicht nach Obst.","Nein, sie riechen wie ein Gebrauchtwarenladen."
1076,"Nein, sie riechen wie ein Gebrauchtwarenladen.","Ja, ein Gebrauchtwarenladen hat den gleichen Geruch."
1077,"Ja, ein Gebrauchtwarenladen hat den gleichen Geruch.","Ja, ein alter Geruch."
1078,Die Preise für Briefmarken steigen und steigen.,"Ich glaube, Briefmarken kosteten früher einen Cent."
1079,"Ich glaube, Briefmarken kosteten früher einen Cent.",das ist eine lange Zeit her.
1080,das ist eine lange Zeit her.,"Es war, bevor ich geboren wurde."
1081,"Es war, bevor ich geboren wurde.",Jetzt kostet eine Briefmarke 42 Cent.
1082,Jetzt kostet eine Briefmarke 42 Cent.,aber im Mai werden es 44 Cent sein.
1083,aber im Mai werden es 44 Cent sein.,Haben Sie schon einmal einen Brief per Post verloren?
1084,Haben Sie schon einmal einen Brief per Post verloren?,"Nein, das habe ich nicht."
1085,"no, i haven't.",Weder habe ich.
1086,Weder habe ich.,Für das Geld machen sie also einen guten Job.
1087,Für das Geld machen sie also einen guten Job.,"Ja, das tun sie."
1088,"Ja, das tun sie.",Vielleicht sollten wir uns nicht beschweren.
1089,Ein Knopf löste sich von meinem Hemd.,was werden Sie tun?
1090,was werden Sie tun?,Zuerst muss ich den Knopf finden.
1091,Zuerst muss ich den Knopf finden.,wo hast du es verloren?
1092,wo hast du es verloren?,Ich habe keine Ahnung.
1093,Ich habe keine Ahnung.,Ein Knopf ist schwer zu finden. Hast du in deine Hosenaufschläge geschaut?
1094,Ein Knopf ist schwer zu finden. Hast du in deine Hosenaufschläge geschaut?,das ist eine gute Idee.
1095,das ist eine gute Idee.,Ich habe einmal einen Knopf in meinen Hosenmanschetten gefunden.
1096,Ich habe einmal einen Knopf in meinen Hosenmanschetten gefunden.,"Lass mich sehen. nein, es ist nicht da."
1097,"Lass mich sehen. nein, es ist nicht da.",Viele Hemden sind mit einem zusätzlichen Knopf ausgestattet.
1098,Viele Hemden sind mit einem zusätzlichen Knopf ausgestattet.,sie haben Recht. Dieses hat einen zusätzlichen Knopf.
1099,sie haben Recht. Dieses hat einen zusätzlichen Knopf.,Jetzt müssen Sie es nur noch annähen.
1100,ich muss ins Badezimmer gehen.,Du trinkst zu viel Kaffee.
1101,Du trinkst zu viel Kaffee.,aber ich liebe Kaffee.
1102,aber ich liebe Kaffee.,"Nun ja, es ist dein Leben."
1103,"Nun ja, es ist dein Leben.",Du isst zu viel Schokolade.
1104,Du isst zu viel Schokolade.,Das glaube ich nicht.
1105,i don't think so.,Hast du in den Spiegel geschaut?
1106,Hast du in den Spiegel geschaut?,"Glaubst du, ich werde dick?"
1107,"Glaubst du, ich werde dick?",Das habe ich nicht gesagt.
1108,Das habe ich nicht gesagt.,was hast du gesagt?
1109,was hast du gesagt?,"Ich sagte, ich muss auf die Toilette gehen."
1110,"Ich sagte, ich muss auf die Toilette gehen.","Ich dachte, das hättest du gesagt."
1111,Hast du die Wäsche gewaschen?,"Ja, habe ich."
1112,"yes, i did.",Was hast du gewaschen?
1113,Was hast du gewaschen?,Ich habe die Bettwäsche und Handtücher gewaschen.
1114,Ich habe die Bettwäsche und Handtücher gewaschen.,Was ist mit den Kissenbezügen?
1115,Was ist mit den Kissenbezügen?,"Ja, ich habe sie von den Kissen genommen und gewaschen."
1116,"Ja, ich habe sie von den Kissen genommen und gewaschen.",hast du alles im Trockner getrocknet?
1117,hast du alles im Trockner getrocknet?,"Ja, ich habe alles im Trockner getrocknet."
1118,"Ja, ich habe alles im Trockner getrocknet.",Was hast du dann gemacht?
1119,Was hast du dann gemacht?,Ich habe alle Handtücher gefaltet.
1120,Ich habe alle Handtücher gefaltet.,Hast du die Bettwäsche auf die Betten gelegt?
1121,Hast du die Bettwäsche auf die Betten gelegt?,"Ja, und ich habe die Kissenbezüge auf die Kissen gelegt."
1122,Hörst du Radio?,Ich höre Tag und Nacht zu.
1123,Ich höre Tag und Nacht zu.,Was hörst du dir an?
1124,Was hörst du dir an?,Meistens Talkradio.
1125,Meistens Talkradio.,was ist das?
1126,was ist das?,Menschen reden über aktuelle Ereignisse.
1127,Menschen reden über aktuelle Ereignisse.,was sagen Sie?
1128,was sagen Sie?,"Sie sagen, sie wollen Veränderung."
1129,"Sie sagen, sie wollen Veränderung.",Was für eine Veränderung?
1130,Was für eine Veränderung?,Sie wollen Steuersenkungen.
1131,Sie wollen Steuersenkungen.,Warum wollen sie Steuersenkungen?
1132,Warum wollen sie Steuersenkungen?,denn durch Steuersenkungen sparen sie Geld.
1133,Mama ich habe Hunger.,schau in den Kühlschrank.
1134,schau in den Kühlschrank.,Ich schaue. Es gibt nichts zu essen.
1135,Ich schaue. Es gibt nichts zu essen.,bist du sicher?
1136,bist du sicher?,es ist fast leer.
1137,es ist fast leer.,Ich war gestern auf dem Markt.
1138,Ich war gestern auf dem Markt.,Ich sehe nichts.
1139,Ich sehe nichts.,Ich habe viele Orangen und Äpfel gekauft.
1140,Ich habe viele Orangen und Äpfel gekauft.,Ich will kein Obst. Ich möchte etwas Leckeres.
1141,Ich will kein Obst. Ich möchte etwas Leckeres.,iss die Frucht. es ist gut für dich.
1142,iss die Frucht. es ist gut für dich.,"Wenn du das nächste Mal auf den Markt gehst, lass mich mitkommen."
1143,"Wenn du das nächste Mal auf den Markt gehst, lass mich mitkommen.","Nein danke. Alles, was Sie essen möchten, sind Hot Dogs und Schokoriegel."
1144,was gibt es zu essen?,ich weiß nicht. schau in den Kühlschrank.
1145,ich weiß nicht. schau in den Kühlschrank.,"Ich glaube, ich mache ein Sandwich."
1146,"Ich glaube, ich mache ein Sandwich.",welche Art?
1147,what kind?,ein Schinkensandwich.
1148,ein Schinkensandwich.,Das Brot ist im Schrank.
1149,Das Brot ist im Schrank.,Wo ist der Senf?
1150,Wo ist der Senf?,"Es ist im Kühlschrank, glaube ich."
1151,"Es ist im Kühlschrank, glaube ich.","oh ja, hier ist es. Möchtest du ein Sandwich?"
1152,"oh ja, hier ist es. Möchtest du ein Sandwich?","Ja, das hört sich gut an."
1153,"Ja, das hört sich gut an.",Wie wäre es mit ein paar Kartoffelchips?
1154,Wie wäre es mit ein paar Kartoffelchips?,"Ja. und eine Gurke, falls wir welche haben."
1155,"Es ist Zeit für Ihr Bad, junge Dame.","Aber, Mama, ich bin nicht schmutzig."
